Time,1,2,3,4,5,6,7,8,9,10,Temp,Amplitude(mm)
07/13_11:34:26,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:34:26,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:34:27,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:34:27,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:34:28,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:34:28,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:34:29,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:34:29,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:34:30,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:34:30,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:34:31,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:34:31,0,0,0,0,0,0,0,0,0,0,26.5,0.001632
07/13_11:34:32,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:34:32,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:34:33,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:34:33,0,0,0,0,0,0,0,0,0,0,26.5,0.001632
07/13_11:34:34,0,0,0,0,0,0,0,0,0,0,26.5,0.001632
07/13_11:34:34,0,0,0,0,0,0,0,0,0,0,26.5,0.001632
07/13_11:34:35,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:34:35,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:34:36,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:34:36,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:34:37,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:34:37,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:34:38,0,0,0,0,0,0,0,0,0,0,26.5,0.001632
07/13_11:34:38,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:34:39,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:34:39,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:34:40,0,0,0,0,0,0,0,0,0,0,26.5,0.002856
07/13_11:34:40,0,0,0,0,0,0,0,0,0,0,26.5,0.002856
07/13_11:34:41,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:34:41,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:34:42,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:34:42,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:34:43,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:34:43,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:34:44,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:34:44,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:34:45,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:34:45,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:34:46,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:34:46,0,0,0,0,0,0,0,0,0,0,26.5,0.001632
07/13_11:34:47,0,0,0,0,0,0,0,0,0,0,26.5,0.001632
07/13_11:34:47,0,0,0,0,0,0,0,0,0,0,26.5,0.001632
07/13_11:34:48,0,0,0,0,0,0,0,0,0,0,26.5,0.001632
07/13_11:34:48,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:34:49,0,0,0,0,0,0,0,0,0,0,26.5,0.001632
07/13_11:34:49,0,0,0,0,0,0,0,0,0,0,26.5,0.001632
07/13_11:34:50,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:34:50,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
