Time,1,2,3,4,5,6,7,8,9,10,Temp,Amplitude(mm)
09/18_10:55:18,0.4803,0.5407,1.1121,0.1966,0.0056,0.0846,0,0,0,0,-0.0625,1.160352
09/18_10:55:19,0.5141,0.5705,1.1145,0.1934,0.0177,0.079,0,0,0,0,-0.0625,1.1424
09/18_10:55:20,0.5158,0.5649,1.1056,0.1918,0.0193,0.0629,0,0,0,0,-0.0625,1.14036
09/18_10:55:21,0.4988,0.5407,1.1145,0.1982,0.0056,0.0355,0,0,0,0,-0.0625,1.153008
09/18_10:55:22,0.4771,0.5278,1.1234,0.1966,0,0.0661,0,0,0,0,-0.0625,1.15668
09/18_10:55:23,0.527,0.5641,1.1258,0.1982,0,0.0653,0,0,0,0,-0.0625,1.147296
09/18_10:55:24,0.4134,0.4803,1.0919,0.1902,0,0.0516,0,0,0,0,-0.0625,1.14444
09/18_10:55:25,0.4867,0.5383,1.0968,0.1902,0,0.0508,0,0,0,0,-0.0625,1.149336
09/18_10:55:26,0.5407,0.5794,1.1097,0.191,0.0274,0.0943,0,0,0,0,-0.0625,1.151376
09/18_10:55:27,0.5391,0.5826,1.1193,0.1918,0.025,0.0878,0,0,0,0,-0.0625,1.1526
09/18_10:55:28,0.5359,0.5996,1.1484,0.2087,0.0153,0.0556,0,0,0,0,-0.0625,1.16076
09/18_10:55:29,0.5472,0.5899,1.1338,0.2047,0,0,0,0,0,0,-0.0625,1.157904
09/18_10:55:30,0.5528,0.5931,1.1443,0.2087,0,0.0556,0,0,0,0,-0.0625,1.152192
09/18_10:55:31,0.5383,0.5988,1.1338,0.195,0,0.0145,0,0,0,0,-0.0625,1.162392
09/18_10:55:32,0.556,0.6181,1.1419,0.2007,0,0,0,0,0,0,-0.0625,1.172592
09/18_10:55:33,0.5343,0.6012,1.15,0.2031,0,0,0,0,0,0,-0.0625,1.177896
09/18_10:55:34,0.5391,0.606,1.1355,0.195,0,0,0,0,0,0,-0.0625,1.161984
09/18_10:55:35,0.5206,0.6004,1.121,0.1862,0,0,0,0,0,0,-0.0625,1.171368
09/18_10:55:36,0.5407,0.6133,1.1371,0.2071,0,0,0,0,0,0,-0.0625,1.171776
09/18_10:55:37,0.5335,0.6092,1.1145,0.1958,0,0,0,0,0,0,-0.0625,1.169328
09/18_10:55:38,0.5343,0.6068,1.1185,0.1982,0,0,0,0,0,0,-0.0625,1.165656
09/18_10:55:39,0.5246,0.5907,1.0927,0.187,0,0,0,0,0,0,-0.0625,1.159536
09/18_10:55:40,0.5125,0.5931,1.0831,0.1837,0,0.0266,0,0,0,0,-0.0625,1.159128
09/18_10:55:41,0.5383,0.5923,1.1234,0.1982,0,0.0145,0,0,0,0,-0.0625,1.16484
09/18_10:55:42,0.5174,0.5842,1.0871,0.1845,0,0,0,0,0,0,-0.0625,1.146888
09/18_10:55:43,0.519,0.5915,1.0903,0.1845,0,0.0113,0,0,0,0,-0.0625,1.151784
09/18_10:55:44,0.5327,0.5947,1.1145,0.191,0,0,0,0,0,0,-0.0625,1.1526
09/18_10:55:45,0.5149,0.5996,1.1226,0.1894,0,0,0,0,0,0,-0.0625,1.153008
09/18_10:55:46,0.5077,0.5988,1.1064,0.1821,0,0,0,0,0,0,-0.0625,1.152192
09/18_10:55:47,0.5214,0.5939,1.104,0.1813,0,0.0161,0,0,0,0,-0.0625,1.14852
09/18_10:55:48,0.5077,0.6036,1.1193,0.1845,0,0,0,0,0,0,-0.0625,1.15056
09/18_10:55:49,0.5037,0.6068,1.1226,0.1813,0,0,0,0,0,0,-0.0625,1.149744
09/18_10:55:50,0.4964,0.606,1.1226,0.1813,0,0,0,0,0,0,-0.0625,1.15056
09/18_10:55:51,0.5004,0.606,1.1274,0.1862,0,0.0758,0,0,0,0,-0.0625,1.154232
09/18_10:55:52,0.5004,0.6213,1.129,0.1862,0,0.0048,0,0,0,0,-0.0625,1.155048
09/18_10:55:53,0.5125,0.6173,1.1403,0.1966,0.0129,0.0814,0,0,0,0,-0.0625,1.16484
09/18_10:55:54,0.5206,0.6133,1.1403,0.195,0,0.0234,0,0,0,0,-0.0625,1.1628
09/18_10:55:55,0.5206,0.5947,1.1097,0.1886,0.0113,0.05,0,0,0,0,-0.0625,1.168512
09/18_10:55:56,0.5141,0.5923,1.1097,0.1878,0.0113,0.0443,0,0,0,0,-0.0625,1.1628
